"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"19","6. Miscellaneous","11","","38","2","6A. Should be accessible from mobile","0"
"26","12. Proposal Budget Submission","0","","2","0","","0"
"0","Setup","1","","3","0","Cleanup","0"
"0","","0","","0","30","","0"
"12","11. Proposal Budget","0","","4","0","","0"
"4","4. Proposal visibility","3","","8","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","2. Delegation","0","","16","12","","0"
"12","8. Proposal Discussion Forum","0","","5","0","","0"
"4","10. User Snap","1","","0","0","","0"
"2","9. Outcomes","8","","16","0","","0"
"36","7. Proposal submission","0","","2","0","","0"
"0","3. DRep registration","0","","10","0","","0"
"3","6. Miscellaneous","2","","5","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","2","","1","0","Register DRep","0"
"0","5. Proposal functionality","0","","3","0","","0"
"0","Setup","0","","1","0","Proposal","0"
